Date,Price,Open,High,Low,Vol.,Change %
12-03-2012,"10,625.65","10,765.95","10,786.45","10,543.25",23.81M,1.14%
09-03-2012,"10,505.65","10,286.80","10,526.55","10,286.80",19.80M,3.68%
07-03-2012,"10,132.85","10,030.25","10,169.45","9,939.95",19.81M,0.74%
06-03-2012,"10,058.15","10,149.80","10,438.00","10,020.45",26.23M,-1.19%
05-03-2012,"10,178.85","10,406.85","10,406.85","10,152.10",17.29M,-2.60%
03-03-2012,"10,450.25","10,435.45","10,486.25","10,435.45",1.04M,0.15%
02-03-2012,"10,434.30","10,337.70","10,584.25","10,192.80",23.77M,1.41%
01-03-2012,"10,288.90","10,385.15","10,385.15","10,160.25",18.75M,-1.20%
29-02-2012,"10,414.20","10,561.75","10,667.30","10,340.75",29.45M,-0.67%
28-02-2012,"10,484.00","10,179.95","10,561.70","10,178.85",28.03M,3.76%
27-02-2012,"10,103.95","10,527.65","10,527.65","10,073.90",22.82M,-3.83%
24-02-2012,"10,506.80","10,691.75","10,759.05","10,435.55",23.99M,-1.93%
23-02-2012,"10,713.35","10,693.75","10,852.65","10,621.80",31.53M,-0.31%
22-02-2012,"10,747.15","11,160.40","11,226.75","10,714.05",28.07M,-3.79%
21-02-2012,"11,170.40","11,042.60","11,207.05","11,042.60",21.21M,0.86%
17-02-2012,"11,074.90","11,042.85","11,203.35","11,013.00",25.65M,1.40%
16-02-2012,"10,921.90","10,896.05","10,940.80","10,780.05",21.03M,-0.08%
15-02-2012,"10,930.70","10,633.65","10,959.50","10,633.15",27.37M,3.54%
14-02-2012,"10,556.65","10,449.45","10,606.85","10,449.10",20.46M,0.79%
13-02-2012,"10,473.60","10,451.10","10,532.85","10,335.70",22.81M,0.30%
10-02-2012,"10,442.65","10,482.15","10,555.00","10,344.20",22.69M,-0.62%
09-02-2012,"10,507.60","10,267.25","10,546.40","10,267.25",22.66M,1.82%
08-02-2012,"10,320.10","10,308.20","10,401.65","10,208.45",41.35M,-0.04%
07-02-2012,"10,324.60","10,368.50","10,429.70","10,260.15",22.05M,0.54%
06-02-2012,"10,269.25","10,219.60","10,331.25","10,183.45",28.80M,1.34%
03-02-2012,"10,133.65","9,992.00","10,158.95","9,928.45",23.01M,1.42%
02-02-2012,"9,992.05","10,012.95","10,090.20","9,776.55",36.13M,0.43%
01-02-2012,"9,949.10","9,941.90","9,967.45","9,762.00",26.65M,0.30%
31-01-2012,"9,919.45","9,625.70","9,946.50","9,625.70",28.09M,4.01%
30-01-2012,"9,537.10","9,741.25","9,741.25","9,509.15",18.54M,-2.82%
27-01-2012,"9,813.65","9,969.25","9,969.25","9,701.50",28.98M,-0.44%
25-01-2012,"9,856.60","9,871.95","9,905.50","9,762.50",37.16M,0.23%
24-01-2012,"9,834.00","9,536.05","9,885.15","9,456.25",42.94M,3.30%
23-01-2012,"9,520.30","9,503.10","9,659.00","9,503.10",18.00M,0.04%
20-01-2012,"9,516.85","9,291.15","9,560.15","9,268.50",31.78M,3.45%
19-01-2012,"9,199.40","9,106.80","9,212.85","9,106.80",16.11M,1.95%
18-01-2012,"9,023.40","9,067.35","9,067.35","8,922.70",18.62M,-0.37%
17-01-2012,"9,056.70","9,013.65","9,114.45","9,011.80",17.39M,1.30%
16-01-2012,"8,940.25","8,913.25","8,967.95","8,813.85",15.09M,-0.39%
13-01-2012,"8,975.05","8,989.90","9,073.00","8,913.95",18.86M,0.50%
12-01-2012,"8,930.25","8,831.45","9,015.25","8,830.25",21.97M,1.02%
11-01-2012,"8,839.70","8,758.25","8,858.95","8,736.25",18.53M,1.20%
10-01-2012,"8,735.05","8,535.65","8,748.80","8,535.65",18.59M,2.99%
09-01-2012,"8,481.35","8,450.40","8,517.80","8,329.90",13.64M,0.34%
07-01-2012,"8,452.80","8,471.15","8,480.40","8,436.45",,-0.42%
06-01-2012,"8,488.25","8,397.35","8,586.65","8,297.55",15.33M,0.39%
05-01-2012,"8,454.90","8,421.50","8,516.15","8,394.25",17.61M,0.55%
04-01-2012,"8,408.40","8,388.95","8,453.40","8,294.35",18.62M,0.82%
03-01-2012,"8,340.30","8,072.80","8,356.35","8,072.80",15.17M,4.32%
02-01-2012,"7,995.05","8,009.85","8,028.45","7,888.25",11.15M,0.33%
30-12-2011,"7,968.65","8,073.20","8,120.15","7,925.15",14.64M,-0.73%
29-12-2011,"8,027.40","8,050.30","8,137.40","7,986.75",22.34M,-1.04%
28-12-2011,"8,111.40","8,256.10","8,256.10","8,053.15",13.98M,-1.98%
27-12-2011,"8,275.50","8,348.55","8,365.75","8,223.85",11.58M,-1.18%
26-12-2011,"8,374.55","8,301.35","8,420.20","8,292.65",9.80M,0.94%
23-12-2011,"8,296.45","8,406.20","8,451.95","8,253.45",18.00M,-1.05%
22-12-2011,"8,384.65","8,106.20","8,415.70","8,064.15",27.18M,2.39%
21-12-2011,"8,189.15","7,999.00","8,235.65","7,936.00",26.63M,5.01%
20-12-2011,"7,798.55","7,948.45","7,961.70","7,766.35",25.53M,-1.54%
19-12-2011,"7,920.75","8,122.25","8,122.25","7,801.55",31.04M,-3.07%
16-12-2011,"8,171.90","8,482.25","8,602.80","8,127.20",31.99M,-3.24%
15-12-2011,"8,445.10","8,449.45","8,509.50","8,375.65",23.93M,-1.03%
14-12-2011,"8,533.00","8,549.55","8,696.90","8,482.95",26.66M,-0.45%
13-12-2011,"8,571.95","8,475.85","8,642.35","8,393.30",22.76M,0.33%
12-12-2011,"8,543.40","8,900.90","8,920.25","8,504.45",20.34M,-3.04%
09-12-2011,"8,811.10","8,786.35","8,932.00","8,689.85",22.78M,-1.17%
08-12-2011,"8,915.70","9,126.45","9,153.40","8,871.25",21.16M,-2.84%
07-12-2011,"9,176.25","9,235.35","9,273.10","9,133.55",20.65M,0.03%
05-12-2011,"9,173.75","9,154.90","9,215.40","9,073.80",16.66M,0.01%
02-12-2011,"9,172.75","8,924.15","9,200.65","8,859.65",21.70M,3.12%
01-12-2011,"8,895.30","8,872.80","9,033.85","8,821.50",23.99M,3.87%
30-11-2011,"8,564.10","8,529.05","8,704.10","8,490.35",57.14M,-0.69%
29-11-2011,"8,623.90","8,824.55","8,843.90","8,587.45",23.17M,-1.92%
28-11-2011,"8,793.15","8,598.70","8,809.95","8,598.70",18.66M,3.59%
25-11-2011,"8,488.60","8,438.20","8,558.60","8,360.55",21.11M,0.19%
24-11-2011,"8,472.50","8,412.55","8,504.40","8,276.75",28.24M,0.87%
23-11-2011,"8,399.30","8,556.40","8,556.40","8,240.45",24.73M,-2.47%
22-11-2011,"8,611.70","8,603.85","8,698.20","8,544.05",22.31M,0.67%
21-11-2011,"8,554.15","8,806.70","8,806.70","8,522.30",15.84M,-3.35%
