Date,Sentiment_Score,Prob_Pos,Prob_Neg,News_Volume
"April 18, 2009, Saturday",-0.04707691,0.17252065,0.21959758,6
"April 18, 2010, Sunday",0.54455906,0.5964436,0.051884517,4
"April 18, 2011, Monday",0.4640825,0.49959314,0.03551063,4
"April 18, 2012, Wednesday",0.1029415,0.46534696,0.36240548,9
"April 18, 2013, Thursday",0.06314572,0.3580774,0.29493168,17
"April 18, 2014, Friday",0.34036693,0.36702964,0.026662692,3
"April 18, 2015, Saturday",0.01662645,0.15821168,0.14158523,6
"April 18, 2016, Monday",0.19837934,0.21268298,0.014303646,3
"April 18, 2017, Tuesday",-0.2957238,0.031398717,0.3271225,6
"April 18, 2018, Wednesday",-0.29534644,0.14542452,0.44077092,7
"April 18, 2019, Thursday",-0.19727612,0.06348335,0.26075947,3
"April 18, 2020, Saturday",0.12899013,0.226541,0.09755087,5
"April 19, 2003, Saturday",-0.43701866,0.03784158,0.47486025,2
"April 19, 2004, Monday",0.022358349,0.34626356,0.3239052,12
"April 19, 2005, Tuesday",0.039002802,0.20350146,0.16449867,7
"April 19, 2006, Wednesday",0.27060542,0.39629143,0.12568602,31
"April 19, 2007, Thursday",0.251355,0.3845148,0.1331598,8
"April 19, 2008, Saturday",0.0776604,0.09582425,0.018163854,1
"April 19, 2009, Sunday",0.054608695,0.31175774,0.25714907,5
"April 19, 2010, Monday",-0.08490039,0.23123617,0.31613657,12
"April 19, 2011, Tuesday",-0.030540893,0.2606542,0.2911951,13
"April 19, 2012, Thursday",-0.06922689,0.29247385,0.3617007,16
"April 19, 2013, Friday",-0.37430498,0.17871822,0.5530232,11
"April 19, 2014, Saturday",0.26517755,0.48583254,0.22065498,8
"April 19, 2015, Sunday",0.07885554,0.42074537,0.34188986,3
"April 19, 2016, Tuesday",-0.24580908,0.059919767,0.30572885,9
"April 19, 2017, Wednesday",0.62719876,0.65490425,0.027705515,5
"April 19, 2018, Thursday",-0.08743541,0.2696342,0.3570696,13
"April 19, 2019, Friday",0.92768097,0.9523511,0.024670083,2
"April 19, 2020, Sunday",0.14255752,0.25641575,0.11385823,6
"April 20, 2004, Tuesday",0.009582216,0.2621713,0.2525891,11
"April 20, 2005, Wednesday",0.07659239,0.32904065,0.25244826,10
"April 20, 2006, Thursday",0.56630814,0.65197104,0.08566288,9
"April 20, 2007, Friday",-0.093104355,0.23711134,0.3302157,8
"April 20, 2009, Monday",-0.35221767,0.11248022,0.4646979,7
"April 20, 2010, Tuesday",0.20886804,0.4240408,0.21517275,24
"April 20, 2011, Wednesday",0.50738454,0.67426217,0.16687764,13
"April 20, 2012, Friday",-0.11869831,0.32055992,0.43925825,13
"April 20, 2013, Saturday",0.16881438,0.3508313,0.18201695,6
"April 20, 2014, Sunday",0.037513796,0.29494292,0.25742912,4
"April 20, 2015, Monday",-0.03968873,0.1645894,0.20427814,5
"April 20, 2016, Wednesday",0.04807762,0.21438408,0.16630644,13
"April 20, 2017, Thursday",0.20012587,0.43129802,0.23117214,8
"April 20, 2018, Friday",-0.34766728,0.13828544,0.4859527,10
"April 20, 2019, Saturday",0.5056707,0.6114215,0.105750784,4
"April 20, 2020, Monday",-0.046714365,0.2548508,0.30156517,5
"April 21, 2003, Monday",0.10636595,0.25207278,0.14570683,9
"April 21, 2004, Wednesday",0.121032,0.28962964,0.16859765,5
